Time is an illusion, lunchtime doubly so.	Douglas Adams	The Hitchhiker's Guide to the Galaxy	
Time is not a reality, but a concept or a measure...	Antiphon the Sophist	Truth	
Time goes, you say? Ah no, alas, time stays, we go.	Henry Austin Dobson		
The times they are a'changing.	Bob Dylan		1964
Time is money.	Benjamin Franklin	Advice to Young Tradesmen	1748
Time is the school in which we learn, Time is the fire in which we burn.	Delmore Schwartz	For Rhoda	1938
Who has time? Who has time? But then if we never take time, how can we have time?	The Merovingian	The Matrix Reloaded	2003
Time is a waste of money.	Oscar Wilde	Phrases and Philosophies for the Use of the Young	1894
Time's tide will smother you	The Smiths	That Joke Isn't Funny Anymore	1985
Ticking away the moments that make up a dull day	Pink Floyd	Time	
I think the second you stop fighting it, time really is on your side.	JD	Scrubs	
Time spent with cats is never wasted.	Colette		
Time wounds all heels.	Jane Ace		
How we spend our days is, of course, how we spend our lives.	Annie Dillard		
Time is an illusion.	Albert Einstein		
Time is the accident of accidents.	Epicurus		
Lost time is never found again.	Benjamin Franklin		
Time is on my side, yes it is.	Mick Jagger		
The surest way to be late is to have plenty of time	Leon Kennedy		
The future is something which everyone reaches at the rate of sixty minutes an hour, whatever he does, whoever he is.	C. S. Lewis		
Time flies like an arrow, fruit flies like a banana.	Groucho Marx		
The future turns to present, and present turns to past. Thus it seems that time is ever-ending, yet never-ending	Richard van der Merwe		
I confess I do not believe in time.	Vladimir Nabokov		
We are not capable of producing a concept of time that is at once cosmological, biological, historical and individual.	Paul Ricoeur		
They say that time changes things, but you actually have to change them yourself.	Andy Warhol		
Time is precious because time is finite.	Swami Raj		
Time is nature's way of keeping everything from happening at once. Space is what prevents everything from happening to me.	John Archibald Wheeler		
